,title,video_id,date
0,한국 예능 야구 레전드를 보고 현웃터진 미국인 반응,AEl5RAzF0lQ,<class 'datetime.date'>
1,해외에서 반응 난리 났다는 한국 디저트,wYp0kz2kgKE,<class 'datetime.date'>
2,&quot;한국 스타일 무섭네!&quot; 한국의 건물사진에 깜짝놀란 스페인 반응과 네티즌 반응,It69uJHJIuA,<class 'datetime.date'>
3,한국 LG OLED TV의인기비결은???해외반응 – 일본이것이 한국의 기술이다!!일본방송에서 극찬하는 반응,1SIA3ukXyhc,<class 'datetime.date'>
4,한국 마스크를 처음 써보고 놀라운 반응을 보여주는 이탈리아 남자! 그 이유는?,3LwSAs3eeQA,<class 'datetime.date'>
5,한국 길거리에 대놓고 있는 &#39;이것&#39;에 깜짝 놀란 외국인 반응,j-wy1mVDKBM,<class 'datetime.date'>
6,한국 애견문화에 크게 충격받은 외국인 강아지 견주 반응ㄷㄷ,4mhxYyF0cA8,<class 'datetime.date'>
7,난생 처음 한국PC방을 경험하고 충격받은 미국인 반응,aL5ZnfrdPUU,<class 'datetime.date'>
8,한국의 새참을 처음 먹어본 외국인 반응! 만두랑 뽕따러 가자~ [6시 니고향],qoWonyzBD8E,<class 'datetime.date'>
9,[해외반응] 모두가 불가능이라고 포기한 건물을 한국이 건설하자 세계가 경악한 이유,RRwvGpWX-hI,<class 'datetime.date'>
10,[해외반응]한국은 전 세계에서 얼마나 강력할까? &#39;100만 조회수&#39;를 기록한 화제의 영상!,A1OgbWfeMrc,<class 'datetime.date'>
11,"[일본반응] 서양인 &quot;한국 드라마,영화,음악 모두 퀄리티 너무 좋잖아?&quot;",0lI-eJR3m7I,<class 'datetime.date'>
12,"[해외반응] 최근 해외 사이트에서 난리난 평범한 한국음식들 모음, 의외로 외국인들이 환장한다는 한국음식들",qVdiocKJzK0,<class 'datetime.date'>
13,"[해외반응] 한국 사는 외국인들이 신기해서 찍어  올린 한국의 사진들 모음 , 해외 커뮤니티 반응",7Giq0qhdXQ8,<class 'datetime.date'>
14,한국 국내 KBL 농구 선수 덩크 해외 반응 | Top Korean Dunkers?,7VIJjFVGowM,<class 'datetime.date'>
15,중국반응│한국의 신형무기를 분석하는 중국│주변국 긴장시킬만한 대한민국 신형무기들│한국 최신무기 특징 현무4 항공모함 잠수함 탄도미사일│중국어로[路],Bp8zHMZZqTM,<class 'datetime.date'>
16,한국의사 한마디에 충격받고 한국병원 극찬한 미국인 글 보고 열광하는 해외네티즌 반응  | 미국병원에서 받은 수술에 대한 놀라운 사실을 알게 된 상황,Bkp4gNYuJzg,<class 'datetime.date'>
17,[해외반응] 한국 도심 한가운데서 외국인들의 이해할 수 없는 행동에 &quot;이 소식을 본 미국에서도 충격&quot;,u_7dWL3hhuA,<class 'datetime.date'>
18,한국 K-Beauty인기비결은???해외반응 – 일본젊어지는 한국 화장품 제품 해외방송에서 극찬하는 반응,-irbIK4vSls,<class 'datetime.date'>
19,[해외반응] 더 이상 한국을 건드리면 참지 않겠다. 전 세계가 한국을 위해 분노하는 이유,V6EkTy58Ow0,<class 'datetime.date'>
20,[해외반응] 외국인 배구선수가 미국 언론에 극찬한 한국의 K-방역과 시민의식! GS칼텍스 메레타 러츠가 기고문에서 비교한 한미대응 소개! #메레타러츠 #gs칼텍스 #현지반응,ZMoXgMEDDNI,<class 'datetime.date'>
21,해외반응 일본반응 한국 일본 군사 전쟁 ! 현무4 미사일로 침몰 작전 ! 일본 정복 ! 세계 한국군 국방무기 !,UNpl1tDwbDw,<class 'datetime.date'>
22,"[해외반응] 같은 무릎수술을 한국과 미국에서 각각 받아본 미국인 비교 체험기, 한국의 의료서비스 직접받아본 외국인들이 극찬하는 이유",24BOgB40rac,<class 'datetime.date'>
23,[해외반응] &quot;필리핀 베트남 보다 최악의 나라&quot; 한국은 쓰레기통이라 무시했던 영국이 이제는 눈물 흘리며 사과하는 이유,6fdcm4-U1N8,<class 'datetime.date'>
24,(해외반응)한국어를 알게 되면 수천개의 문이 열린다/한국에서 외국인이 한국어를 구사함으로 어떤 장점과 단점이 있었을까요?  #해외반응 #네티즌반응 #외국인반응,xc1ChMj-9UY,<class 'datetime.date'>
25,[해외반응] 한국 이용해 세계를 상대로 사기 치다 적발된 베트남 언론사에서 한국 기사가 모두 삭제된 이유,XsXTzsyh_m4,<class 'datetime.date'>
26,(해외반응) 한국으로 역이민 하고 싶다! 재미교포들의 진지한 고민   #해외반응 #네티즌반응 #외국인반응,87VNYiPNVMw,<class 'datetime.date'>
27,(해외반응) 한국TV프로그램을 본 일본인들 반응/ 일본인 스스로가 진실을 말해도 목소리가 묻힌다.          #해외반응 #일본반응 #네티즌반응,xBAgNyGvuFQ,<class 'datetime.date'>
28,해외반응 일본반응 한국의 KFX 전투기 극초음속 미사일로 무장! 충격 경악한 일본 ! 세계 강대국 한국군 !,lCR94v1_jIE,<class 'datetime.date'>
29,[일본반응] 아이즈원 미야와키 사쿠라 한국에서 급성장 일본 네티즌 반응 &#39;성형운운은 초딩수준 뇌야&#39; (IZ*ONE Miyawaki Sakura),E9l3uljY4fQ,<class 'datetime.date'>
30,"[해외반응] 미국,스페인 은 물론,일본까지도 한국의 KBO 리그의 교본을 따라서 운영을 하고 있다는데... 그 자세한 내막과 미국 ESPN 이 밝힌 한국야구 인기의 실상은?",VEa8atV7NL8,<class 'datetime.date'>
31,한국음식을 먹은 그들의 알 수 없는 반응,47-U1mtBeeQ,<class 'datetime.date'>
32,해외반응 일본반응 한국의 미래 첨단 전기차 배터리 기술은 세계 최고 ! 깜짝놀란 일본 ! 기업 경제 순위 !,F2t0a-w7--Y,<class 'datetime.date'>
33,[일본반응] 드디어 한국이 AESA레이더 완제품 개발에 성공! 해외에서도 놀란 기대이상 성능에 일본은 불가능하다며 충격,R0QTPgrMMkY,<class 'datetime.date'>
34,한국과 관련된 전자 안내판을 비난하고 나선 일본네티즌반응과 일본상황,BBsqzLcq_Xo,<class 'datetime.date'>
35,"[일본반응] 美선정, 세계 최고의 라면은 한국의 &quot;신라면 블랙&quot; &quot;또 재발하는 일본의 열등감&quot;",PQaf-0htLzE,<class 'datetime.date'>
36,프랑스 남자에게 한국브랜드의 빵을 줘봤어요. 과연 반응은?,bS6M__p8zPU,<class 'datetime.date'>
37,해외반응 일본반응 한국의 반도체 삼성 영업이익 SSD 수출 대만을 제치고 세계 1위 기업 경제 순위 !,jGfULRqsmao,<class 'datetime.date'>
38,해외반응 일본반응 한국의 항공모함 KCVX ! 국산 첨단 기술로 개발! 깜짝놀란 일본 ! 세계 강대국 한국군 !,PNbvf9r4cu8,<class 'datetime.date'>
39,"[코스타리카반응] 한국,코스타리카에 마스크 30만개 기부 코스타리카 사회보장청 방송 보도",02Lmir8YutA,<class 'datetime.date'>
40,일본방송에 나온 한국에 있는 대단한 것 [일본반응],nO2FrR7UgWg,<class 'datetime.date'>
41,&quot;기적의 나라 한국!&quot; 국제 올림픽위원회의 한국 극찬에 감동한 해외네티즌 반응,nFgd1v_kfPk,<class 'datetime.date'>
42,"🔥[한국반응 폭발] &#39;인도네시아 KF-X 개발 분담금! 5,000억 못 줘! #KF-X#인도네시아#한국반응",nBLNECbZ3MA,<class 'datetime.date'>
43,🔥[일본반응 폭발] &#39;일본 열도를 뒤집은 한국 클라쓰! #이태원클라쓰#일본반응#넷플릭스,NgbjUuUgopQ,<class 'datetime.date'>
44,해외반응 중국반응 중국인들이 사랑하는 한국 남자연예인은? 김종국 3위 1위는 누구인가 외국인 네티즌반응,GQ7q7m3mcD8,<class 'datetime.date'>
45,"해외반응 일본반응 일본이 침몰한 이유 ! 반면 , 한국의 놀라운 저력 ! 세계 경제 GDP 순위 !",riGSw9ZRN-U,<class 'datetime.date'>
46,[일본반응] 한국에 위기감을 가져야 한다는 일본인들 반응,Yi6owgMdS1o,<class 'datetime.date'>
47,손흥민 군대 해외반응 │러시아반응│한국 군대가 이렇게 빡세? ㄷㄷㄷ│걱정 한가득│성공복귀 기원!!,aemqi08-bLs,<class 'datetime.date'>
48,📢[충격적 한국반응] &#39;누구 때문에 일본 국민들은 🔥피눈물 난다!&#39; #일본#아베#도쿄,X-77oRMGy5s,<class 'datetime.date'>
49,나라별 금지곡 리뷰! K-POP 듣다 정신줄 놓아버린 외국인들 어떡하죠;; (feat. 이 노래 웃기지) / 별다리 외사친 [ENG/SPA SUB],zNmFEEQRCKU,<class 'datetime.date'>
50,해외 반응 엄청난 한국 스타일 빙수의 위엄 #네티즌반응,DY_2qcMFDWA,<class 'datetime.date'>
51,"변호인 해외반응, 한국에는 이런 대통령이? 실화기반",qroBOoG0-2I,<class 'datetime.date'>
52,한국 레전드 가수 &#39;나훈아&#39;를 보고 충격받은 외국 할머니 반응 (ft.홍시),18gMg1H4f4M,<class 'datetime.date'>
53,한국의 수박화채를 처음 먹어본 외국인 반응,U2bhTWrrZbY,<class 'datetime.date'>
54,해외 반응 뜨거워 수출전용으로 만들어진 한국 제품들,m3JY-pfgz8k,<class 'datetime.date'>
55,한국 미용실에서 충격받은 외국인 반응,w_OkF86-3Wg,<class 'datetime.date'>
56,"한국에서 온 어피치 선물 미국아기 반응, 미국생활vlog /국제커플/미국 일상 브이로그/외국에서 살기/외국 브이로그, 미국엄마와 아기/ 미국인와이프 한미국제커플 한국아빠미국엄마",cBqj2rmq8Sg,<class 'datetime.date'>
57,전세계 오직 한국에서만 가능한 광경을 보고 충격받은 영국인 반응,_2qTqn9dWQI,<class 'datetime.date'>
58,중국반응 &amp; 대만반응│한국의 경제력에 대한 그들의 생각│한국이 빠르게 경제 발전할 수 있는 이유│그리고 한국에게서 배워야 할 점은?│중국어로[路]​,XHCFyv0p8nY,<class 'datetime.date'>
59,한국을 재빨리 배우자는 인도반응과 이에 당황하고 있는 중국상황,34mvFFm8jT0,<class 'datetime.date'>
60,이탈리아에서 한국 음악을 연주하자 놀라운 반응을 보이는 이유! 역대급 반응이네요...,rZ9j90kC-ZQ,<class 'datetime.date'>
61,[해외반응] 한국에서 넘처나는 굴을 보고 믿을 수 없다며 충격 &quot;최고급 요리 재료를...&quot;,208lONEwI0k,<class 'datetime.date'>
62,중국반응│한국과 중국 경제 비교│중국인들이 느끼는 솔직한 중국 경제 상황│중국 경제가 발전하기 위해서는 한국을 배우자│중국어로[路]​​,Zs1eV7qoCVE,<class 'datetime.date'>
63,한국을 부러워하는 해외 대학생들 해외반응 - 미국 대학에서 한국 학생에게 감탄하는 반응,rUEhPIintb0,<class 'datetime.date'>
64,[단독 해외반응] 한국에서 전 세계 최초로 설치된 터널에 &#39;이것&#39;을 보고 놀라는 이유//&quot;한국인들의 머릿속이 궁금하다&quot;,__K0g9alzms,<class 'datetime.date'>
65,"&quot;한국의 양심 사진이 올라오자&quot; 발칵 뒤집힌, 해외 네티즌 반응",aTUBrsuUFWE,<class 'datetime.date'>
66,✅세계 무기시장에서 독일이 한국에게 밀린 이유 #해외반응#외국인반응#일본반응#해외반응#현지반응#일본#외신반응#세계반응 #k-9 #독일 #자주포 #PzH2000 #포병 #육군,wK4-aktOWF4,<class 'datetime.date'>
67,해외반응 일본반응 한국의 세계 무기 수출 순위 세계가 부러워하는 한국산 ! 일본 열등감 폭발 깜짝놀란 상황 !,7uK_LdKaz3o,<class 'datetime.date'>
68,"[해외반응] 외국인들이 보고 놀란 한국의 양심 사진들 모음, 해외 커뮤니티에서 화제가된 한국의 양심 사진들",aiY-Vs2Yab8,<class 'datetime.date'>
69,일본남자가 한국에서 스시를 먹을 때 반응 - 한국에서 초밥 처음 먹고 깜짝 놀란 일본인 남자,VOppYXLtUiI,<class 'datetime.date'>
70,[해외반응] 한국은 불가능을 성공시킨 한국 전세계 유일하다 #외국반응 #일본반응 #해외반응 #국뽕 #현지반응 #반응모음 #미국반응 #세계반응,q0YbGa-hbxo,<class 'datetime.date'>
71,[일본반응] 대마도의 눈물. 한국에게 뺏길까 두려워하는 일본 ‘도쿄보다 서울이 가까운데 한국에게 넘어가도 괜찬아’ / 불안한 일본인과 일본반응.,-BVjllo95t8,<class 'datetime.date'>
72,"[해외반응] 기적이 일어났다!!선진국 중 최고 경제 성장률 이룬 한국, 모든 국제 사회가 한국을 뽑은 이유",TGQws1-Dv64,<class 'datetime.date'>
73,[파라과이반응] 한국의 멋진 드론쇼를 보고 자국 비판하는 파라과이 네티즌들,y8t2013a-dA,<class 'datetime.date'>
74,[해외반응] 처음보는 한국자판기에 충격먹은 외국인반응 #일본반응 #해외반응 #외국반응 #현지반응 #외국인반응 #외신반응 #반응 #국뽕,QIkc2H4BU9s,<class 'datetime.date'>
75,한국에 유리한 노래를 불렀다며 비판하고 나선 일본반응,lNSrRsXBl4M,<class 'datetime.date'>
76,[단독해외반응] 아랍이 한국 경찰에게 고맙다고 중동 전체를 대표해서 감사하는 이유//한국인의 기술력이 중동 전체를 범죄에서 구하고 있다.,jNsIOiCZuLY,<class 'datetime.date'>
77,미국인이 처음 한국 고등학교에 다닌다고 했을 때 가족들의 반응,s_Wxw2oHYQQ,<class 'datetime.date'>
78,해외반응 일본반응 한국의 KFX 전투기 AESA 레이더 기술 개발 완료 ! 깜짝놀란 일본 ! 세계 국방무기 한국군 !,qjAbKupI0hE,<class 'datetime.date'>
79,"해외반응 일본반응 한국의 국산 첨단 무기 차륜형기관포 K-30 비호 ! 기술 개발, 해외수출 까지? 세계 한국군 국방 F-35 KFX 전투기 현무 미사일 !",ubDV-OCxuQM,<class 'datetime.date'>
80,"자화자찬 베트남 현지, 한국에서 일하려는 베트남인, 한국 반응은 비자발급 중단",3xwQLkJfPZc,<class 'datetime.date'>
81,미국 명문대에서의 한국 주제Korea is cool because...해외반응 - 미국이것이 진정한 한국문화다.한류 열풍에 감탄하는 해외반응,z4kTSoLbPD4,<class 'datetime.date'>
82,"해외반응 일본반응 한국의 현대차 수소 전기 트럭을 세계 최초로 양산 , 유럽 스위스 수출 ! 망연자실한 일본 ! 기업경제순위 !",T8pmA-K9GnE,<class 'datetime.date'>
83,"[단독해외반응] 대놓고 한국 사무총장 막겠다는 일본, 결국 폭발한 해외 네티즌들 반응//일본은 정말 부끄러움의 극치다",25OTPx4UUJM,<class 'datetime.date'>
84,[Full.ver] 제철소의 색다른 사운드로 재창조된 헨리(Henry) - Believer♬,EU_JGT55vN0,<class 'datetime.date'>
85,[일본반응] 아이즈원으로 본 왜 일본 아이돌이 한국 K-POP에 진출하는가 &#39;일본 남성들은 장식된 인형만을 원해&#39;,kFHqK8PfQBg,<class 'datetime.date'>
86,🔥[일본반응 폭발] &#39;일본인들의 가슴을 후벼 팠던... 📢역대 한국 드라마 TOP 25! #일본반응#한류#한국드라마,JXp8xkl9ygk,<class 'datetime.date'>
87,막걸리 빚는 미국 남자✨ 한국 전통주 소믈리에가 된 사나이 [무엇이든 물어보살],VohnOolm2oI,<class 'datetime.date'>
