,title,video_id,channel_title,channel_id,description,date
0,외국인들이 엉터리 영어 이름 아이스크림을 처음 먹어본다면!,aFu5x4zc0bQ,코리안브로스,UCIB_oNqi62rKnPFb3Toaozw,"오늘은 탱크보이, 스크류바, 와일드바디를 먹어봤는데요! 와일드바디를 그렇게 생각할 줄이야ㅋㅋㅋㅋㅋㅋㅋ 다음엔 뭘 먹어볼까요??! ㅡ 알림설정, 좋아요, 그리고 ...",2020-07-06T10:00:02Z
1,강남 테헤란로를 본 실제 테헤란 사람들 반응,EUyXmEMAK4M,이란여자,UCH_3EJmYezmCXe8Y6DMvRkA,본 영상은 코로나 이전에 촬영한 영상입니다 :) 시청해 주셔서 감사합니다. 출연자 정보 : Sogand : 인스타그램 @han.iran.,2020-07-06T11:31:42Z
2,한국 예능 야구 레전드를 보고 현웃터진 미국인 반응,AEl5RAzF0lQ,BODA 보다,UCoCvTlU0KpNYwnMIgs7MPrA,KBO #한국야구 #예능짤 #MLB 오늘은 미국에서 온 김태균씨와 한국에 레전드 야구 짤들 봤는데요 미국인의 반응은 어떨까요? 영상에서 보시죠! 고고~ ♥ BODA 영상 ...,2020-07-02T10:29:13Z
3,그냥 반해버린 국민 소프라노 엘리아나 쌤/임재범의 데스페라도(Desperado),XeNQkki3PnM,알프스의 동그미Dongmi in Alps,UCMviECt-dMYu_CtGfF7o2vg,그의 노래를 듣는 동안에는 테크닉 따위는 넣어두도록 합시다. [소프라노 엘리아나 바욘 Eliana Bayon] 아르헨티나의 비평가 협회가 선정한 최고의 성악가상 수상 ...,2020-07-02T15:26:25Z
4,베테랑 미군이 본 200만 유튜버 운동 실력은?! | 피지컬갤러리 김계란,AsdB9bDxWD0,헬창TV Korea Fitness HellchangTV,UCfHsXdttq6t-59HaJKgk5uw,헬창TV #피지컬갤러리#김계란 아메리칸 캐주얼 기반의 운동남들을 위한 데일리웨어! '헤이스트' https://heyste.co.kr/ ...,2020-07-06T08:44:33Z
5,[MV] 화사 (Hwa Sa) - 마리아 (Maria) Reaction,3KIoCftDRJs,RT TV,UCa9T0y46uK5FzJT-8tLBFeQ,MAMAMOO #HWASA #María [MV] 화사 (Hwa Sa) - 마리아 (Maria) SUBSCRIBE: http://bit.ly/RTTV_yt | Like/Share/Comment Support us on Patreon!,2020-07-02T04:40:45Z
6,[한글자막] 아이유 좋은 날 해외반응 | IU Good Day Reaction,v-TGTDnw-7Y,Kraze Reaction,UCthZn33eTImIZputbL1UnRA,[한글자막] 아이유 좋은 날 해외반응 | IU Good Day Reaction 안녕하세요! 마음에 드시면 구독 부탁드립니다~! Subscribe for more free YouTube Reaction videos: ...,2020-07-07T09:00:12Z
7,#21-1 우크라이나 소녀들 한국영화 리액션 검은 사제들 Реакция украинок на фильм &quot;Черные священники&quot;,xCgqw_2txqE,UA CREATORS TV,UC4LXki1ejYXMTAGEdVlSTug,"""Привет, это Настя. 안녕하세요 나이스쟈입니다 Я впервые попробовала себя в качестве ведущей при съемках реакции 제가 처음으로 그녀를 이끌어서 ...",2020-07-05T11:35:16Z
8,외국인과 한국인 여자들이 말하는 &#39;노브라&#39;?,0O5V-rnbpbQ,코리안브로스,UCIB_oNqi62rKnPFb3Toaozw,"근데 지금 봐도 레이첼 패션 너무 취저네용(୨୧ ❛ᴗ❛)✧ ㅡ 알림설정, 좋아요, 그리고 구독은 필수!   Don't forget to like, subscribe, hit the notification bell!   출연 ...",2020-07-01T10:00:01Z
9,"[#현지에서먹힐까?미국편] 감탄사(OMG) 연발하며 이연복표 깍두기볶음밥 맛있게 먹는 미국인들 +먹스킬 쩌는 1인 2메뉴 손님, 완전 배우신 분... | #Diggle",YF1q0A5jdzY,tvN D ENT,UCsRIHt5FkbGc6cQtCxt-ufA,"현지에서먹힐까?미국편 #Diggle #디글 Let's giggle, :Diggle! 방송국놈들이 덕질하는 채널 디글 구독하기! ;Diggle ☞ http://bit.ly/2Urls34.",2020-07-04T13:03:01Z
