,country,video_num,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,일본,1211,171382.10330578513,3200.4413223140496,95.98347107438016,0.0,383.1842975206612
1,대만,62,393908.22580645164,5352.354838709677,190.01612903225808,0.0,894.016129032258
2,홍콩,4,42392.0,624.75,15.0,0.0,130.75
3,마카오,0,,,,,
4,태국,12,126964.16666666667,2822.25,60.0,0.0,332.5
5,말레이시아,2,87910.0,2822.0,77.5,0.0,143.0
6,필리핀,19,137459.63157894736,3849.842105263158,110.52631578947368,0.0,326.63157894736844
7,인도네시아,14,153855.35714285713,3780.6428571428573,106.28571428571429,0.0,314.42857142857144
8,싱가포르,5,78886.8,2138.2,39.6,0.0,88.2
9,브루나이,0,,,,,
10,미얀마,21,321833.4285714286,7911.714285714285,260.1904761904762,0.0,824.6666666666666
11,라오스,2,299249.5,5642.0,134.5,0.0,286.5
12,베트남,53,163673.03773584907,2900.9245283018868,118.54716981132076,0.0,422.75471698113205
13,티모르,0,,,,,
14,인도,31,204381.1935483871,4280.935483870968,118.51612903225806,0.0,388.35483870967744
15,스리랑카,2,412235.0,6504.5,174.5,0.0,288.0
16,파키스탄,0,,,,,
17,네팔,0,,,,,
18,방글라데시,0,,,,,
19,아프가니스탄,0,,,,,
20,캄보디아,1,116326.0,0.0,0.0,0.0,140.0
21,부탄,0,,,,,
22,몰디브,1,174122.0,3256.0,111.0,0.0,350.0
23,몽골,6,407045.6666666667,9419.166666666666,294.5,0.0,865.5
24,시킴,0,,,,,
25,중국,317,322566.9082278481,5733.243670886076,190.64240506329114,0.0,753.7088607594936
26,북한,24,315490.47826086957,6485.478260869565,140.0,0.0,487.3478260869565
27,마요테,0,,,,,
28,영령인도양섬,0,,,,,
29,국제연합,0,,,,,
30,이란,8,379562.75,6918.0,117.75,0.0,514.5
31,사우디아라비아,0,,,,,
32,이스라엘,6,684348.6666666666,12709.0,563.1666666666666,0.0,796.1666666666666
33,요르단,0,,,,,
34,레바논,4,228431.25,4079.75,132.0,0.0,359.75
35,쿠웨이트,0,,,,,
36,시리아,0,,,,,
37,터키,9,565698.1111111111,5975.555555555556,123.0,0.0,350.8888888888889
38,예멘공화국,0,,,,,
