,video_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,AEl5RAzF0lQ,62865,755,21,0,114
1,wYp0kz2kgKE,75606,1448,38,0,71
2,It69uJHJIuA,249430,5237,196,0,390
3,1SIA3ukXyhc,232245,2439,119,0,148
4,3LwSAs3eeQA,43407,1455,20,0,65
5,j-wy1mVDKBM,4117907,29140,713,0,1079
6,4mhxYyF0cA8,3252,152,6,0,16
7,aL5ZnfrdPUU,114617,2834,53,0,191
8,qoWonyzBD8E,29059,1155,8,0,56
9,RRwvGpWX-hI,40559,1606,35,0,66
10,A1OgbWfeMrc,93118,1963,77,0,147
11,0lI-eJR3m7I,146744,2615,66,0,241
12,qVdiocKJzK0,290353,4542,136,0,201
13,7Giq0qhdXQ8,152009,3537,75,0,150
14,7VIJjFVGowM,165145,1171,73,0,307
15,Bp8zHMZZqTM,544691,5303,214,0,687
16,Bkp4gNYuJzg,2236237,30336,1572,0,3666
17,u_7dWL3hhuA,10204,202,12,0,44
18,-irbIK4vSls,43072,625,22,0,59
19,V6EkTy58Ow0,342185,7630,150,0,312
20,ZMoXgMEDDNI,4156,68,9,0,21
21,UNpl1tDwbDw,114579,1350,72,0,215
22,24BOgB40rac,20727,571,14,0,30
23,6fdcm4-U1N8,48476,1881,57,0,125
24,xc1ChMj-9UY,7622,138,6,0,16
25,XsXTzsyh_m4,123762,3141,67,0,343
26,87VNYiPNVMw,3732,78,5,0,58
27,xBAgNyGvuFQ,3449,76,3,0,23
28,lCR94v1_jIE,47202,733,33,0,65
29,E9l3uljY4fQ,198690,1733,79,0,435
30,VEa8atV7NL8,11157,238,10,0,7
31,47-U1mtBeeQ,6815,254,0,0,51
32,F2t0a-w7--Y,18513,434,11,0,11
33,R0QTPgrMMkY,16200,369,25,0,34
34,BBsqzLcq_Xo,108832,2755,79,0,186
35,PQaf-0htLzE,46670,1281,41,0,193
36,bS6M__p8zPU,256,10,0,0,0
37,jGfULRqsmao,12721,330,13,0,15
38,PNbvf9r4cu8,33587,517,38,0,75
39,02Lmir8YutA,24031,808,9,0,35
40,nO2FrR7UgWg,5586,47,4,0,2
41,nFgd1v_kfPk,91239,3047,67,0,90
42,nBLNECbZ3MA,712,23,2,0,8
43,NgbjUuUgopQ,30815,197,50,0,19
44,GQ7q7m3mcD8,1546,0,0,0,9
45,riGSw9ZRN-U,14348,371,10,0,17
46,Yi6owgMdS1o,9224,240,12,0,26
47,aemqi08-bLs,227,4,0,0,0
48,X-77oRMGy5s,173,12,0,0,2
49,zNmFEEQRCKU,85425,2321,27,0,363
50,DY_2qcMFDWA,15043,284,15,0,8
51,qroBOoG0-2I,282843,10623,220,0,2118
52,18gMg1H4f4M,115614,2707,43,0,153
53,U2bhTWrrZbY,24626,845,11,0,56
54,m3JY-pfgz8k,53109,542,21,0,46
55,w_OkF86-3Wg,11465,307,5,0,36
56,cBqj2rmq8Sg,285977,5713,54,0,323
57,_2qTqn9dWQI,658027,7211,109,0,243
58,XHCFyv0p8nY,503709,8084,301,0,749
59,34mvFFm8jT0,171668,4613,109,0,118
60,rZ9j90kC-ZQ,32384,1410,28,0,103
61,208lONEwI0k,231298,3328,111,0,274
62,Zs1eV7qoCVE,674604,13509,510,0,1260
63,rUEhPIintb0,139658,1679,141,0,60
64,__K0g9alzms,184791,4231,65,0,74
65,aTUBrsuUFWE,379051,7782,146,0,430
66,wK4-aktOWF4,152526,3013,100,0,81
67,7uK_LdKaz3o,14359,393,15,0,38
68,aiY-Vs2Yab8,114671,2291,49,0,115
69,VOppYXLtUiI,3148,60,1,0,10
70,q0YbGa-hbxo,1176,0,0,0,8
71,-BVjllo95t8,165072,3877,172,0,397
72,TGQws1-Dv64,27137,1195,28,0,46
73,y8t2013a-dA,84112,1683,31,0,67
74,QIkc2H4BU9s,2521,0,0,0,7
75,lNSrRsXBl4M,40328,1390,50,0,56
76,jNsIOiCZuLY,26155,1271,36,0,39
77,s_Wxw2oHYQQ,284436,8141,65,0,360
78,qjAbKupI0hE,84418,1357,65,0,128
79,ubDV-OCxuQM,27027,459,17,0,17
80,3xwQLkJfPZc,35420,792,18,0,187
81,z4kTSoLbPD4,10027,144,23,0,20
82,T8pmA-K9GnE,9304,250,11,0,17
83,25OTPx4UUJM,34215,1373,17,0,59
84,EU_JGT55vN0,8118506,269640,1451,0,14583
85,kFHqK8PfQBg,129125,1446,74,0,355
86,JXp8xkl9ygk,2931,62,4,0,20
87,VohnOolm2oI,400652,4859,91,0,750
88,TcOqANaZfg0,1659,24,5,0,7
89,E24U0w76mDE,118252,2227,73,0,122
90,b_4-oac0H0Q,33297,579,18,0,44
91,vnsp7tidqgY,96024,1832,85,0,213
92,HkoTDE2j_Ik,160494,3119,59,0,364
93,qPHWF-ZCGUw,79060,2208,91,0,187
94,LqCLP9lgOnE,6420,204,7,0,29
