,title,video_id,channel_title,channel_id,description,date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,country
0,한국 예능 야구 레전드를 보고 현웃터진 미국인 반응,AEl5RAzF0lQ,BODA 보다,UCoCvTlU0KpNYwnMIgs7MPrA,KBO #한국야구 #예능짤 #MLB 오늘은 미국에서 온 김태균씨와 한국에 레전드 야구 짤들 봤는데요 미국인의 반응은 어떨까요? 영상에서 보시죠! 고고~ ♥ BODA 영상 ...,2020-07-02,62865.0,755.0,21.0,0.0,114.0,미국
2,&quot;한국 스타일 무섭네!&quot; 한국의 건물사진에 깜짝놀란 스페인 반응과 네티즌 반응,It69uJHJIuA,구네스북,UClHJcrFMOxCEPjjg6WlTmPw,"한국의 건물사진에 깜짝놀란 스페인 반응과 네티즌 반응을 다뤘습니다. * 구네스북 그래픽 디자인은 자체 제작되었고, 자료사진과 자료영상은 라이센스비용을 적법 ...",2020-07-06,249430.0,5237.0,196.0,0.0,390.0,스페인
3,한국 LG OLED TV의인기비결은???해외반응 – 일본이것이 한국의 기술이다!!일본방송에서 극찬하는 반응,1SIA3ukXyhc,데보이,UC9Uf0ZCFKKy65uCOf6oCrOQ,해외반응#한국해외반응#일본 한국 LG OLED TV의 인기비결은??? 해외반응 – 일본 이것이 한국의 기술이다!! 일본방송에서 극찬하는 반응 Music provided by 브금 ...,2020-07-04,232245.0,2439.0,119.0,0.0,148.0,일본
4,한국 마스크를 처음 써보고 놀라운 반응을 보여주는 이탈리아 남자! 그 이유는?,3LwSAs3eeQA,레만 Reman [로마사는 한국남자],UC0MhsY1Nc467re-66o6xwRg,이탈리아 남자 알레한테 한국 마스크를 선물해주었습니다. 알레 반응이 정말 대박이네요 ㅎㅎ 다시 한 번 선물해주신 분께 감사드립니다. #이탈리아 #한국 #반응.,2020-07-01,43407.0,1455.0,20.0,0.0,65.0,이탈리아
7,난생 처음 한국PC방을 경험하고 충격받은 미국인 반응,aL5ZnfrdPUU,에이 스토리 A STORY,UCudezj2i6R94QOPqGJhbZwg,오늘은 미국인 에밀리님을 모시고 한국 PC방에 가보았습니다 에밀리님이랑 게임을 같이 해봤는데요 과연 에밀리님은 어떠셨을까요? 궁금하시다면 지금바로 영상 ...,2020-07-03,114617.0,2834.0,53.0,0.0,191.0,미국
11,"[일본반응] 서양인 &quot;한국 드라마,영화,음악 모두 퀄리티 너무 좋잖아?&quot;",0lI-eJR3m7I,해외네티즌반응,UCWChazNpbbTMk1jCaRSwrvw,"http://www.gasengi.com (가생이닷컴 공식 제휴 채널) ☆ 일본의 여러 방송에서는 사랑의 불시착에 빠져있다는 연예인들의 말도 자주나오고, 일본 언론 및 잡지에서는 ...",2020-07-02,146744.0,2615.0,66.0,0.0,241.0,일본
15,중국반응│한국의 신형무기를 분석하는 중국│주변국 긴장시킬만한 대한민국 신형무기들│한국 최신무기 특징 현무4 항공모함 잠수함 탄도미사일│중국어로[路],Bp8zHMZZqTM,중국어로 [路],UCxV6HwAqpzkAN1J2s9LolgQ,중국은 물론 주변 나라들이 긴장하고 주시하는 한국의 신형무기들 대한민국의 군사력이 다시한번 떡상합니다! 한국 군사력 증강! ​ #중국반응 #대한민국 #신형무기.,2020-07-04,544691.0,5303.0,214.0,0.0,687.0,중국
16,한국의사 한마디에 충격받고 한국병원 극찬한 미국인 글 보고 열광하는 해외네티즌 반응  | 미국병원에서 받은 수술에 대한 놀라운 사실을 알게 된 상황,Bkp4gNYuJzg,오땅튜브,UCBcABLsjY43MKEHOQ_Nz6_w,한국의 병원과 의료시스템이 수많은 해외 네티즌들의 찬사를 한몸에 받고 있습니다. 최근 한국병원과 미국병원을 비교한 한 미국네티즌의 생생한 경험담이 최근 미국 ...,2020-07-04,2236237.0,30336.0,1572.0,0.0,3666.0,미국
17,[해외반응] 한국 도심 한가운데서 외국인들의 이해할 수 없는 행동에 &quot;이 소식을 본 미국에서도 충격&quot;,u_7dWL3hhuA,세상을말하다,UCSIx66_89zLSFOucZuBqxMQ,"구독하기 : https://bit.ly/34TlXrB “나는 지난 주말에 한국의 부산에 있었고, 휴가 중인 미군들은 이렇게 7월 4일을 축하하고 있다” 라는 제목의 글이었으며, 끝으로 “민망 ...",2020-07-06,10204.0,202.0,12.0,0.0,44.0,미국
19,[해외반응] 외국인 배구선수가 미국 언론에 극찬한 한국의 K-방역과 시민의식! GS칼텍스 메레타 러츠가 기고문에서 비교한 한미대응 소개! #메레타러츠 #gs칼텍스 #현지반응,ZMoXgMEDDNI,싸인왕GraphKing,UCC8xSDan3DwHRsnGxULjqaA,싸인왕 구독: https://www.youtube.com/channel/UCC8xSDan3DwHRsnGxULjqaA #미국반응 #현지반응 #미국현지반응 #미국반응 #프로배구 #GS #칼텍스 #브이 ...,2020-07-07,4156.0,68.0,9.0,0.0,21.0,미국
20,해외반응 일본반응 한국 일본 군사 전쟁 ! 현무4 미사일로 침몰 작전 ! 일본 정복 ! 세계 한국군 국방무기 !,UNpl1tDwbDw,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 한국군이 보유한 현무 미사일 그리고 새롭게 개발중인 첨단 현무4 미사일 그밖에도 항공모함 KDDX 이지스 구축함 핵잠수함 KFX ...,2020-07-02,114579.0,1350.0,72.0,0.0,215.0,일본
21,"[해외반응] 같은 무릎수술을 한국과 미국에서 각각 받아본 미국인 비교 체험기, 한국의 의료서비스 직접받아본 외국인들이 극찬하는 이유",24BOgB40rac,팩튜브,UCMYdWhFzXlu4b7KViEUmTWg,,2020-07-07,20727.0,571.0,14.0,0.0,30.0,미국
