,word,count
0,일본,3822
1,중국,944
2,미국,838
3,한글,612
4,한국인,515
5,방탄소년단,481
6,일본인,449
7,감사,389
8,충격,375
9,나라,259
10,영화,253
11,소향,251
12,드라마,243
13,스타,219
14,대만,209
15,미사일,203
16,사랑,199
17,문화,196
18,최고,196
19,음식,189
20,영국,183
21,베트남,168
22,여자,161
23,커플,160
24,뉴스,157
25,블랙,155
26,남자,154
27,한류,154
28,공개,154
29,무대,153
30,현지,152
31,비교,151
32,국제,150
33,미국인,148
34,노래,148
35,먹방,147
36,댄스,147
37,이야기,143
38,경제,139
39,팬,137
40,시간,136
41,손흥민,135
42,개발,134
43,인기,133
44,핑크,131
45,레전드,130
46,러시아,130
47,군사력,128
48,방탄,127
49,외신,122
50,경악,121
51,전투기,121
52,백신,117
53,가수,115
54,현무,113
55,언론,112
56,기술,111
57,하나,111
58,영어,110
59,집,110
60,모습,107
61,역대,105
62,감동,104
63,선진국,104
64,차,103
65,폭발,103
66,국가,102
67,여행,102
68,가족,101
69,독일,100
70,이탈리아,99
71,코로나,99
72,무기,98
73,수출,96
74,마음,94
75,중국인,92
76,힘,92
77,덕,89
78,다이너마이트,89
79,팝,88
80,관련,87
81,쇼,87
82,아미,87
83,번역,87
84,순위,85
85,시작,85
86,비,85
87,채팅,85
88,버터,85
89,기사,84
90,커뮤니티,83
91,출연,83
92,걸,82
93,코리아,81
94,아이,81
95,그램,81
96,생활,80
97,차이,80
98,랜덤,80
99,경험,79
100,가능,79
101,강대국,79
102,프랑스,78
103,브레이브걸스,78
104,극찬,77
105,분석,77
106,어로,77
107,분노,77
108,한국어,77
109,서울,77
110,축구,77
111,맛,77
112,비디오,76
113,난리,75
114,유명,75
115,관심,75
116,멤버,75
117,세상,75
118,제품,74
119,기업,73
