,word,count
0,유명희,4
1,놈,4
2,뭘,4
3,무역,3
4,자기,3
5,부정부패,3
6,배신,3
7,국가,3
8,자체,2
9,가짜,2
10,당선,2
11,비리,2
12,장난,2
13,인간,2
14,통상,2
15,흑인,2
16,후진국,2
17,하나,2
18,루,2
19,져,2
20,대사,2
21,요구,2
22,해결,2
23,태양광,2
24,내정,2
25,간섭,2
26,머리,2
27,짐승,2
28,언제,2
29,일자무식,1
30,단독,1
31,드리블,1
32,꿈,1
33,김칫국,1
34,고춧가루,1
35,사레,1
36,목구멍,1
37,콧물,1
38,눈물,1
39,범벅,1
40,고통,1
41,진짜,1
42,선정,1
43,낚시,1
44,제목,1
45,시사,1
46,카더라,1
47,통신,1
48,유투,1
49,브,1
50,인상,1
51,용고,1
52,진지,1
53,똥,1
54,연탄,1
55,기구,1
56,책,1
57,지구,1
58,먹,1
59,구름,1
60,삶,1
61,화이팅,1
62,최종근,1
63,차관보,1
64,깜,1
65,뚱,1
66,똥줄,1
67,모양,1
68,지지,1
69,하리,1
70,대통령,1
71,저거,1
72,코로나,1
73,초기,1
74,혼자,1
75,부패,1
76,공화국,1
77,공산주의,1
78,마오,1
79,둥,1
80,주의자,1
81,지배,1
82,천박,1
83,저급,1
84,사무총장,1
85,국제,1
86,경제,1
87,성공,1
88,파워,1
89,유저,1
90,이야기,1
91,뉴스,1
92,세계인,1
93,제정신,1
94,밖,1
95,힌,1
96,재앙,1
97,최강,1
98,자유,1
99,보루,1
100,본부,1
101,장,1
102,모,1
103,면,1
104,후보,1
105,압도,1
106,재수,1
107,그건,1
108,밥맛,1
109,문재인,1
110,럽,1
111,친,1
112,종북,1
113,눌,1
114,관리,1
115,초고,1
116,만자,1
117,절제,1
118,실패,1
119,본능,1
120,게으름뱅이,1
121,합리,1
122,잘못,1
123,남,1
124,탓,1
125,비계,1
126,덩어리,1
127,부정,1
128,돈,1
129,권력,1
130,명예,1
131,수퍼,1
132,폭식,1
133,쓰레기,1
134,공산당,1
135,둑,1
136,작업,1
137,포기,1
138,군대,1
139,대가,1
140,줄,1
141,단호박,1
142,저,1
143,사이다,1
144,대처,1
145,구석,1
146,강자,1
147,금포,1
148,나이,1
149,상호주의,1
150,너,1
151,싱,1
152,안음,1
153,승선,1
154,시절,1
155,서류,1
156,글자,1
157,수천,1
158,달러,1
159,더블,1
160,빽,1
161,부식,1
162,창고,1
