,word,count
0,감사,9
1,대통령,6
2,언론,6
3,국민,5
4,정부,4
5,국가,3
6,진심,3
7,외,3
8,문재인,3
9,기,2
10,감동,2
11,입국,2
12,선의,2
13,배,2
14,비행기,2
15,보도,2
16,가슴,2
17,내요,2
18,뉴스,2
19,정보,2
20,만세,2
21,민주당,2
22,마음,2
23,정치,2
24,멎,1
25,진데,1
26,돈,1
27,영화,1
28,한편,1
29,고금,1
30,유사,1
31,이래,1
32,민국,1
33,경제,1
34,안보,1
35,선진국,1
36,반열,1
37,역행,1
38,자국,1
39,출국,1
40,타국,1
41,비행경로,1
42,문제점,1
43,해결,1
44,비행,1
45,이동,1
46,노고,1
47,행동,1
48,클라,1
49,셋,1
50,항공사,1
51,풀,1
52,의무,1
53,신세,1
54,이리,1
55,경로,1
56,장악,1
57,친일파,1
58,영향력,1
59,행사,1
60,화이팅,1
61,도움,1
62,주,1
63,신분,1
64,은혜,1
65,값,1
66,인간,1
67,조,1
68,삯,1
69,입,1
70,건지,1
71,전쟁,1
72,참전,1
73,인사,1
74,사이,1
75,보은,1
76,단어,1
77,확진,1
78,자분,1
79,귀국,1
80,하나님,1
81,보호,1
82,다음,1
83,선출,1
84,간,1
85,계속,1
86,회이,1
87,결초보은,1
88,배려,1
89,선함,1
90,부동산,1
91,성과,1
92,정치인,1
93,반성,1
94,경쟁,1
95,부정,1
96,긍정,1
97,정서,1
98,편안,1
99,길,1
100,홍익인간,1
101,검사,1
102,키트,1
103,무엇,1
104,국력,1
105,줄,1
106,극찬,1
107,구더기,1
108,쓰레기,1
109,폭파,1
110,감탄,1
