,word,count
0,감사,205
1,국민,171
2,국가,166
3,행복,161
4,사랑,157
5,저,156
6,하나,154
7,이사벨,148
8,수위,145
9,영어,138
10,돈,132
11,최고,132
12,줄,127
13,놈,127
14,노래,122
15,문화,114
16,남자,107
17,코로나,107
18,뭐,107
19,건강,102
20,시간,102
21,여자,102
22,필요,100
23,티비,100
24,중공,97
25,캠,95
26,맛,94
27,ㄱ,94
28,앞,93
29,기술,93
30,가족,93
31,음식,92
32,정부,90
33,이상,89
34,눈,86
35,문제,86
36,남,82
37,전쟁,82
38,난,81
39,집,81
40,소리,80
41,아이,80
42,하나님,79
43,너,79
44,뽕,78
45,지,77
46,땅,76
47,수준,75
48,차,75
49,자기,74
50,가능,73
51,이해,72
52,멜로디,72
53,마음,71
54,느낌,70
55,영화,70
56,이이,70
57,드라마,68
58,교육,68
59,힘,67
60,모습,67
61,자신,67
62,시작,66
63,경제,66
64,베스트,66
65,인간,66
66,역사,65
67,검색,65
68,세상,65
69,올림픽,65
70,방탄,65
71,의료,63
72,배,63
73,개발,63
74,마스크,62
75,엄마,61
76,아빠,60
77,날,60
78,바,60
79,자랑,58
80,그게,57
81,대통령,57
82,정신,57
83,군대,56
84,다음,55
85,티,55
86,손,55
87,하이디,55
88,기업,54
89,비교,54
90,한국어,54
91,사고,53
92,정보,52
93,존슨,52
94,응원,52
95,얼굴,51
96,끝,51
97,사과,51
98,백신,51
99,이름,50
100,시대,50
101,할아버지,50
102,하루,49
103,반대,49
104,사실,49
105,무료,49
106,기분,49
107,마리아,49
108,사용,49
109,밥,49
110,미군,48
111,학교,48
112,가수,48
113,중요,47
114,의사,47
115,공부,47
116,언론,47
