,word,count
0,노래,12
1,정인,11
2,오르막길,4
3,행복,4
4,정치,3
5,부부,3
6,모습,2
7,시작,2
8,최고,2
9,여자,2
10,애기,2
11,저,2
12,목소리,2
13,자랑,2
14,조정,2
15,감동,2
16,블라도,2
17,미소,2
18,나이,2
19,음악,2
20,코앞,1
21,적,1
22,그날,1
23,컨디션,1
24,일수,1
25,음정,1
26,고음,1
27,실망,1
28,기억,1
29,남북,1
30,정상,1
31,통일,1
32,너,1
33,깜놀,1
34,돈,1
35,치치,1
36,귀,1
37,호강,1
38,음식,1
39,나무,1
40,버,1
41,젼,1
42,오,1
43,평생,1
44,보통,1
45,키즈,1
46,카페,1
47,대박,1
48,피부,1
49,실화,1
50,아이,1
51,복면,1
52,가왕,1
53,화채,1
54,소리,1
55,질러,1
56,노랜지,1
57,분단,1
58,존귀,1
59,빠,1
60,유전자,1
61,프로,1
62,넋,1
63,입가,1
64,도시,1
65,전편,1
66,이편,1
67,어게인,1
68,할아버지,1
69,쿨,1
70,거기,1
71,필드,1
72,결혼,1
73,친소,1
74,초대,1
75,유일,1
76,커플,1
77,국보,1
78,이야기,1
79,장난감,1
80,가게,1
81,인상,1
82,거장,1
83,삼촌,1
84,인연,1
85,계속,1
86,말씀,1
87,사랑,1
88,애창곡,1
89,팬,1
90,가슴,1
91,감사,1
92,가수,1
93,무한도전,1
94,이빨,1
95,실수,1
96,명언,1
97,이분,1
98,라이프,1
99,멋,1
100,가족,1
101,한곡,1
102,무대,1
103,우연,1
104,만남,1
105,작업,1
106,진심,1
107,형,1
108,낙천,1
109,인생,1
110,타인,1
111,이타,1
112,배려,1
113,천사,1
114,아가,1
115,기원,1
116,핫,1
117,매력,1
118,여운,1
119,조정치,1
120,장가,1
121,줄,1
