,word,count
0,국민,978
1,국가,843
2,놈,806
3,기술,663
4,돈,617
5,하나,606
6,정부,565
7,전쟁,545
8,수준,542
9,경제,541
10,역사,514
11,문화,500
12,정신,485
13,문제,483
14,이상,476
15,지,475
16,너희,475
17,미사일,454
18,줄,439
19,뭐,416
20,자기,403
21,필요,395
22,코로나,393
23,너,383
24,개발,360
25,남,357
26,앞,350
27,우익,340
28,땅,335
29,아베,334
30,가능,332
31,배,332
32,기업,328
33,정치,327
34,여자,318
35,최고,316
36,발전,315
37,방사능,315
38,차,314
39,인간,313
40,남자,295
41,영화,291
42,올림픽,291
43,소리,289
44,자체,286
45,조선,284
46,집,276
47,선진국,268
48,시간,267
49,시대,265
50,저,263
51,백신,263
52,수위,260
53,관심,260
54,민족,260
55,과거,259
56,감사,259
57,현실,256
58,수출,255
59,짓,255
60,혐한,254
61,비교,253
62,사용,252
63,왜구,247
64,시작,245
65,뽕,239
66,언론,238
67,적,237
68,천,237
69,난,235
70,인정,234
71,끝,232
72,세상,224
73,무기,219
74,자신,214
75,힘,214
76,우린,211
77,핵,208
78,눈,205
79,세대,204
80,발,202
81,마음,201
82,누가,200
83,차이,200
84,후진국,198
85,이해,198
86,티비,197
87,삼성,194
88,얘기,194
89,독도,194
90,제품,193
91,물,191
92,걱정,190
93,날,190
94,미래,189
95,음식,189
96,노래,188
97,전범,187
98,사실,187
99,사과,184
100,드라마,183
101,꺼,183
102,대통령,182
103,조,180
104,안,179
105,사회,178
106,무시,178
107,중공,176
108,욕,172
109,식,172
110,간,172
111,쓰레기,172
112,도쿄,172
113,뒤,172
114,맛,171
115,뉴스,170
116,현무,169
117,그게,169
118,하나님,168
119,인구,167
120,전투기,165
121,침략,165
122,건데,165
123,교육,164
124,상대,164
125,건가,164
126,이건,162
