,word,count
0,중공,366
1,놈,283
2,국가,275
3,문화,229
4,역사,223
5,전쟁,208
6,기술,198
7,돈,178
8,민족,167
9,공산당,164
10,김치,161
11,국민,155
12,지,150
13,하나,142
14,미사일,141
15,자기,131
16,정부,130
17,영화,128
18,핵,126
19,땅,119
20,수준,112
21,무기,110
22,개발,110
23,줄,109
24,남,106
25,경제,104
26,이상,103
27,문제,102
28,배,101
29,뭐,96
30,너,92
31,필요,92
32,발전,90
33,정신,90
34,소리,89
35,적,89
36,차이,87
37,음식,85
38,통일,81
39,기업,81
40,차,80
41,자신,79
42,코로나,79
43,시작,78
44,전투기,77
45,꺼,77
46,저,75
47,앞,75
48,비교,74
49,최고,74
50,힘,72
51,너희,70
52,대통령,70
53,천,69
54,인간,68
55,자체,67
56,인구,67
57,감사,66
58,산업,64
59,선진국,64
60,끝,63
61,사회,62
62,억,61
63,공격,61
64,군사,60
65,짓,60
66,조선,58
67,여자,58
68,밥,58
69,가능,57
70,쓰레기,57
71,우린,57
72,수위,57
73,인정,56
74,날,56
75,세상,55
76,관심,54
77,조선족,54
78,발,54
79,눈,53
80,사용,53
81,이해,53
82,반도체,52
83,시간,52
84,짝퉁,51
85,정치,51
86,반대,50
87,정권,50
88,베스트,49
89,군,49
90,남자,49
91,욕,49
92,상대,49
93,시대,49
94,교육,48
95,시진핑,48
96,얘기,48
97,지구,48
98,세대,47
99,삼성,47
100,시장,47
101,이름,47
102,답,47
103,조,46
104,이건,46
105,뽕,46
106,언론,46
107,맛,46
108,현무,45
109,난,45
110,왜곡,45
111,자국,45
112,누가,44
113,머리,44
114,손,44
115,달러,44
116,뭘,43
117,한복,43
118,거기,43
119,개소리,43
