,title,video_id,channel_title,channel_id,description,date
0,한국 예능 야구 레전드를 보고 현웃터진 미국인 반응,AEl5RAzF0lQ,BODA 보다,UCoCvTlU0KpNYwnMIgs7MPrA,KBO #한국야구 #예능짤 #MLB 오늘은 미국에서 온 김태균씨와 한국에 레전드 야구 짤들 봤는데요 미국인의 반응은 어떨까요? 영상에서 보시죠! 고고~ ♥ BODA 영상 ...,2020-07-02T10:29:13Z
1,해외에서 반응 난리 났다는 한국 디저트,wYp0kz2kgKE,뉴스킹,UClOg34aPlf3GWZZ6ojt0WYQ,"한국 #근황 #해외반응 해외에서 난리라는 한국 디저트 근황 ""돈 걱정 없이 전부 다 먹고 싶어요"" 네티즌 반응은? 구독을 누르면 더 많은 영상을 볼 수 ...",2020-07-03T03:25:31Z
2,&quot;한국 스타일 무섭네!&quot; 한국의 건물사진에 깜짝놀란 스페인 반응과 네티즌 반응,It69uJHJIuA,구네스북,UClHJcrFMOxCEPjjg6WlTmPw,"한국의 건물사진에 깜짝놀란 스페인 반응과 네티즌 반응을 다뤘습니다. * 구네스북 그래픽 디자인은 자체 제작되었고, 자료사진과 자료영상은 라이센스비용을 적법 ...",2020-07-06T03:00:04Z
3,한국 LG OLED TV의인기비결은???해외반응 – 일본이것이 한국의 기술이다!!일본방송에서 극찬하는 반응,1SIA3ukXyhc,데보이,UC9Uf0ZCFKKy65uCOf6oCrOQ,해외반응#한국해외반응#일본 한국 LG OLED TV의 인기비결은??? 해외반응 – 일본 이것이 한국의 기술이다!! 일본방송에서 극찬하는 반응 Music provided by 브금 ...,2020-07-04T14:14:30Z
4,한국 마스크를 처음 써보고 놀라운 반응을 보여주는 이탈리아 남자! 그 이유는?,3LwSAs3eeQA,레만 Reman [로마사는 한국남자],UC0MhsY1Nc467re-66o6xwRg,이탈리아 남자 알레한테 한국 마스크를 선물해주었습니다. 알레 반응이 정말 대박이네요 ㅎㅎ 다시 한 번 선물해주신 분께 감사드립니다. #이탈리아 #한국 #반응.,2020-07-01T12:27:20Z
5,한국 길거리에 대놓고 있는 &#39;이것&#39;에 깜짝 놀란 외국인 반응,j-wy1mVDKBM,에이 스토리 A STORY,UCudezj2i6R94QOPqGJhbZwg,미국에서 온 신아린님은 한국 길거리에서 '이것'을 보고 처음에 너무 놀랐다는데요?! 그녀를 놀라게 했던 대놓고 있는 이것은 뭐였을까요? 궁금하시다면 지금 영상 ...,2020-07-06T09:30:03Z
6,한국 애견문화에 크게 충격받은 외국인 강아지 견주 반응ㄷㄷ,4mhxYyF0cA8,CLAB,UC9nLq3rvvi_6J3teWiGCDlA,안녕하세요! 오늘은 러시아에서 온 아설 씨가 출연 해주셨는데요! 개들이 살기 좋은 나라라고 불리는 한국!ㅎㅎ 아설씨가 한국에서 애완견을 왕자님처럼 키우셨다고 ...,2020-07-07T09:51:54Z
7,난생 처음 한국PC방을 경험하고 충격받은 미국인 반응,aL5ZnfrdPUU,에이 스토리 A STORY,UCudezj2i6R94QOPqGJhbZwg,오늘은 미국인 에밀리님을 모시고 한국 PC방에 가보았습니다 에밀리님이랑 게임을 같이 해봤는데요 과연 에밀리님은 어떠셨을까요? 궁금하시다면 지금바로 영상 ...,2020-07-03T10:30:01Z
8,한국의 새참을 처음 먹어본 외국인 반응! 만두랑 뽕따러 가자~ [6시 니고향],qoWonyzBD8E,외국인코리아 Creative Den,UCWAFtWIMxR_Qpjh_sWbmwyA,"본 영상은 부안 오디의 제작지원을 받았습니다. 만두와 부안에서 오디를 처음 따봤어요. 오디를 딸 수 있는 기간이 길지 않은데, 운이 좋아서 정말 재미있는 경험 ...",2020-07-07T21:30:04Z
9,[해외반응] 모두가 불가능이라고 포기한 건물을 한국이 건설하자 세계가 경악한 이유,RRwvGpWX-hI,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #해외반응#외신#외신반응.,2020-07-06T03:00:04Z
10,[해외반응]한국은 전 세계에서 얼마나 강력할까? &#39;100만 조회수&#39;를 기록한 화제의 영상!,A1OgbWfeMrc,정보왕TV,UC12xUBwbC0oY4M_s72D9USw,NowThis World 유튜브: https://youtu.be/67zjH6bV8wo ▷구독하기: http://bitly.kr/r4wRx1uI 전 세계 해외반응이 궁금할 땐 역시~ 정보왕티비! 구독/좋아요/알람설정은 ...,2020-07-05T09:00:02Z
11,"[일본반응] 서양인 &quot;한국 드라마,영화,음악 모두 퀄리티 너무 좋잖아?&quot;",0lI-eJR3m7I,해외네티즌반응,UCWChazNpbbTMk1jCaRSwrvw,"http://www.gasengi.com (가생이닷컴 공식 제휴 채널) ☆ 일본의 여러 방송에서는 사랑의 불시착에 빠져있다는 연예인들의 말도 자주나오고, 일본 언론 및 잡지에서는 ...",2020-07-02T15:30:53Z
12,"[해외반응] 최근 해외 사이트에서 난리난 평범한 한국음식들 모음, 의외로 외국인들이 환장한다는 한국음식들",qVdiocKJzK0,팩튜브,UCMYdWhFzXlu4b7KViEUmTWg,"안녕하세요! 팩트 기반 정보 전달 채널, 팩튜브입니다. 이번 영상에서는 해외 사이트에서 인기라는 한국 음식들에 대해서 알아보았습니다. 이미 유명한 김치나 불고기, ...",2020-07-03T10:00:19Z
13,"[해외반응] 한국 사는 외국인들이 신기해서 찍어  올린 한국의 사진들 모음 , 해외 커뮤니티 반응",7Giq0qhdXQ8,팩튜브,UCMYdWhFzXlu4b7KViEUmTWg,"안녕하세요! 팩트 기반 정보 전달 채널, 팩튜브입니다. 이번 영상에서는 한국에 사는 외국인들이 해외 사이트에 올려 화제가 된 일상 사진들과 그에 대한 해외 반응을 ...",2020-07-04T07:19:03Z
14,한국 국내 KBL 농구 선수 덩크 해외 반응 | Top Korean Dunkers?,7VIJjFVGowM,Grant James 쩸스,UCns5E0I_438AYSEk8yY9hDQ,"한국 국내 KBL 농구 선수들 중에 누가 덩크슛을 제일 잘 할 수 있을까? 이승진, Ben Kil, 하승진, 김종규, 김주성, 김민수, 문태영, 이동준, 장재석, 그리고 김선형 선수 ...",2020-07-05T05:23:10Z
15,중국반응│한국의 신형무기를 분석하는 중국│주변국 긴장시킬만한 대한민국 신형무기들│한국 최신무기 특징 현무4 항공모함 잠수함 탄도미사일│중국어로[路],Bp8zHMZZqTM,중국어로 [路],UCxV6HwAqpzkAN1J2s9LolgQ,중국은 물론 주변 나라들이 긴장하고 주시하는 한국의 신형무기들 대한민국의 군사력이 다시한번 떡상합니다! 한국 군사력 증강! ​ #중국반응 #대한민국 #신형무기.,2020-07-04T09:00:02Z
16,한국의사 한마디에 충격받고 한국병원 극찬한 미국인 글 보고 열광하는 해외네티즌 반응  | 미국병원에서 받은 수술에 대한 놀라운 사실을 알게 된 상황,Bkp4gNYuJzg,오땅튜브,UCBcABLsjY43MKEHOQ_Nz6_w,한국의 병원과 의료시스템이 수많은 해외 네티즌들의 찬사를 한몸에 받고 있습니다. 최근 한국병원과 미국병원을 비교한 한 미국네티즌의 생생한 경험담이 최근 미국 ...,2020-07-04T11:03:21Z
17,[해외반응] 한국 도심 한가운데서 외국인들의 이해할 수 없는 행동에 &quot;이 소식을 본 미국에서도 충격&quot;,u_7dWL3hhuA,세상을말하다,UCSIx66_89zLSFOucZuBqxMQ,"구독하기 : https://bit.ly/34TlXrB “나는 지난 주말에 한국의 부산에 있었고, 휴가 중인 미군들은 이렇게 7월 4일을 축하하고 있다” 라는 제목의 글이었으며, 끝으로 “민망 ...",2020-07-06T09:02:44Z
18,한국 K-Beauty인기비결은???해외반응 – 일본젊어지는 한국 화장품 제품 해외방송에서 극찬하는 반응,-irbIK4vSls,데보이,UC9Uf0ZCFKKy65uCOf6oCrOQ,해외반응#한국해외반응#일본반응 한국 K-Beauty 인기비결은??? 해외반응 – 일본 젊어지는 한국 화장품 제품 해외방송에서 극찬하는 반응 Music provided by 브금 ...,2020-07-06T07:40:50Z
19,[해외반응] 더 이상 한국을 건드리면 참지 않겠다. 전 세계가 한국을 위해 분노하는 이유,V6EkTy58Ow0,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #해외반응#일본반응#외신반응.,2020-07-03T03:00:14Z
20,[해외반응] 외국인 배구선수가 미국 언론에 극찬한 한국의 K-방역과 시민의식! GS칼텍스 메레타 러츠가 기고문에서 비교한 한미대응 소개! #메레타러츠 #gs칼텍스 #현지반응,ZMoXgMEDDNI,싸인왕GraphKing,UCC8xSDan3DwHRsnGxULjqaA,싸인왕 구독: https://www.youtube.com/channel/UCC8xSDan3DwHRsnGxULjqaA #미국반응 #현지반응 #미국현지반응 #미국반응 #프로배구 #GS #칼텍스 #브이 ...,2020-07-07T00:23:32Z
21,해외반응 일본반응 한국 일본 군사 전쟁 ! 현무4 미사일로 침몰 작전 ! 일본 정복 ! 세계 한국군 국방무기 !,UNpl1tDwbDw,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 한국군이 보유한 현무 미사일 그리고 새롭게 개발중인 첨단 현무4 미사일 그밖에도 항공모함 KDDX 이지스 구축함 핵잠수함 KFX ...,2020-07-02T09:31:03Z
22,"[해외반응] 같은 무릎수술을 한국과 미국에서 각각 받아본 미국인 비교 체험기, 한국의 의료서비스 직접받아본 외국인들이 극찬하는 이유",24BOgB40rac,팩튜브,UCMYdWhFzXlu4b7KViEUmTWg,,2020-07-07T09:30:00Z
23,[해외반응] &quot;필리핀 베트남 보다 최악의 나라&quot; 한국은 쓰레기통이라 무시했던 영국이 이제는 눈물 흘리며 사과하는 이유,6fdcm4-U1N8,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #해외반응#베트남반응#외신반응.,2020-07-01T05:30:01Z
