,title,description,country,viewCount
2643,[골라봐야지] 멋짐 폭발↗ Stage K 블랙핑크(BLACKPINK) 커버 댄스 무대를 모아모아♨ 최고야bb (SPECIAL KIDS STAGE) ｜스테이지K,블핑 커버 무대 한꺼번에 몰아보기♨ 00:00 뚜두뚜두 DDU-DU DDU-DU (SPECIAL KIDS STAGE) 01:51 휘파람 WHISTLE (벨기에 대표팀) 04:50 마지막처럼 AS IF ...,벨기에,22498511.0
700,한국 꽃등심을 처음 먹어본 영국 축구선수들의 반응?!,오늘은 저희가 새로 만든 한국식 고기 불판 테이블을 가지고 막 훈련을 마친 영국 축구 선수들에게 한국 고기의 신세계를 보여줬어요! 저희가 사랑하는 두 세계가 ...,영국,8700917.0
3198,"한국 남중생들 처음보는 외국인 미녀과 친해질 수 있을까? (러시아 미녀, 사샤, 훈녀, 존예녀)│10대연구보고서 [ENG CC]",역시 언어중에 최고는 몸짓언어지!!! #존예녀 #존예외국인 #국제커플 ▷ 출연진 외국인역 - 사샤 (23) 유튜브 - International Couple [사샤와 제이] ...,러시아,6968967.0
2950,미국 TV프로그램을 뒤흔든 한국언니들,"allready #wod #양사랑 전 세계에서 유일무이한 라틴과 스트릿 댄스를 퓨전시킨 한국 여성 듀오팀 ""Allready"" 의 2019년 WOD 시즌 3 영상입니다!!! - coco instagram ...",미국,6441712.0
1869,중국 쿵푸 공연과 한국 태권도 시범의 해외 패널들 반응 비교,미국 TV쇼 더 월드 베스트에서 중국 쿵푸 공연과 한국 태권도 공연에 관한 영상과 패널들의 리액션 비교입니다. #태권도 #황비홍 #조문탁 #동북공정 #쉬샤우동 ...,중국 미국,6429183.0
2242,"한국 떼창에 감동받은 해외가수들, 과연 일본 공연에서의 반응은..?","오늘은 한국 떼창과 일본 떼창의 비교 영상을 한번 준비 해봤습니다. 한국 관객들의 떼창에 감동받은 해외 뮤지션들, 과연 일본에서는 어떤 반응을 보였을까요? (한국 ...",일본,6252731.0
2014,한국 며느리가 낳은 손주를 본 미국 부모님의 첫 반응,[올리버쌤의 영어회화 일력 365] 저와 함께 새해 영어 공부를 매일 함께 해봐요!! 교보문고 https://bit.ly/389tTbX 예스24 https://bit.ly/3l1nXFo 알라딘 ...,미국,6176556.0
610,인생 첫 한국 음식먹고 이민 결정한 영국 대학생들?!? (요리 10개 클리어 실화?!),최근에 저희가 한국 음식을 한 번도 안 먹어본 영국 학생들에게 한국 치킨을 소개해줬는데요. 특히 한 커플이 치킨을 맛 보고 인생의 전환점이라고 할 정도로 감탄을 ...,영국,5597499.0
2762,※혈압주의※ 영국 BBC가 만든 계란 볶음밥에 전 세계 아시아인이 분노했다/스브스뉴스,BBC에서 작년에 올린 '계란 볶음밥 레시피 영상이 최근 해외에서 큰 이슈입니다. 다 된 밥을 다시 찬물에 씻는 등 레시피에 나온 '밥을 짓는 방법'이 충격적이기 때문 ...,아시아 영국,5099685.0
200,한국 며느리의 임신 소식을 알게 된 미국 시부모님 반응 ㅋㅋ,"뱃속에 아기가 생긴 것을 안 이후로, 너무 기뻐 양가 부모님에게도 알려드리고 싶었어요. 사실 임신 초기가 지날 때 까지 기다리는 것이 정석이라고 들었는데, 마님이 ...",미국,5020035.0
501,한국 치킨을 처음 먹어본 영국 대학생들의 반응?!? (feat. 짜파치킨),"치킨 #KoreanChicken #Ad 오늘은 영국 대학생들에게 한국 치킨의 신세계를 소개해줍니다! 대부분 한국음식을 안 먹어본 친구들이었는데요, (갑툭튀 등장 수상한 ...",영국,4950482.0
2913,일본 프듀 썩어 문드러진 럽미라잇 레전드댓글 모음집 1탄,원본 영상 https://www.youtube.com/watch?v=_SXDN2xdiN8.,일본,4861719.0
2493,한국 급식을 처음 먹어본 영국 중학생들의 반응!?,"인스타그램으로 급식 대표 메뉴를 추천해주신 분들과 유튜브 커뮤니티탭에서 투표에 참여해주신 여러분들, 그리고 오늘 영상의 한국 음식을 준비해준 @국가비 ...",영국,4861415.0
3327,EP21-11 ※통쾌주의※ 일본인에게 희롱 당하는 이정문을 구해내는 의병들 🔥 | #미스터션샤인,"미스터션샤인 #MrSunshine 미스터션샤인 (2018) / 연출 이응복, 극본 김은숙 이병헌, 김태리, 유연석, 변요한, 김민정 출연 신미양요 때 군함에 승선해 미국에 떨어진 ...",미국 일본,4584904.0
2606,이러면 진짜 조회수 100만이 나올까?,김장훈 너무 좋아. 나의 인스타그램 : https://instagram.com/goodboykris #BTS #불닭볶음면 #일본.,일본,4531544.0
2998,대한민국 중딩을 도발했다가 역관광당한 프랑스 챔피언?!,세계대회에 초청받은 대한민국 중학생 비보이 프랑스 챔피언을 무차별하게 털어버리는데.. 브라더그린 티셔츠 구매 링크 ...,프랑스,4469108.0
1040,25초 동안 이어진 숨막히는 랠리!  탁구의 신들이 만나면 벌어지는 일,1998년 방콕 아시안게임 남자탁구 단식 결승 세계 1위 만리장성 중국의 류 궈량과 대한민국의 탁구 에이스 김택수가 만났습니다 누구에게는 단 1점일지라도 탁구의 ...,중국,4219934.0
380,일본이 열광하는 천재소녀가 한국 정복하러 왔다가 1시간만에 눈물을 쏟은 이유,일본의 천재 만들기 프로젝트를 아시나요? 안녕하세요. 대한민국에 관한 세상 모든 반응을 모아 전달하는 채널 세모반입니다 앞으로 많은 관심과 사랑 부탁드립니다.,일본,4179626.0
5,한국 길거리에 대놓고 있는 &#39;이것&#39;에 깜짝 놀란 외국인 반응,미국에서 온 신아린님은 한국 길거리에서 '이것'을 보고 처음에 너무 놀랐다는데요?! 그녀를 놀라게 했던 대놓고 있는 이것은 뭐였을까요? 궁금하시다면 지금 영상 ...,미국,4117907.0
3091,"핀란드의 군사 도시, 하미나에서 일으킨 돌풍! 국방부 전통악대 (KBS_2018.09.29 방송)","핀란드하미나 #군악축제 #전통악대 다큐공감 268회_청년, 북을 높이 울려라 (2018.09.29) 유난히도 뜨거웠던 지난 여름, 핀란드의 작은 군사 도시 하미나에서는 한국 ...",핀란드,4080016.0
